timestamp_ms,device_id,latitude,longitude,speed_kph
0,gps_vehicle_01,37.7749,-122.4194,35.0
200,gps_vehicle_01,37.77492,-122.41942,35.89
400,gps_vehicle_01,37.77494,-122.41944,36.76
600,gps_vehicle_01,37.77496,-122.41946,37.62
800,gps_vehicle_01,37.77498,-122.41948,38.44
1000,gps_vehicle_01,37.775,-122.4195,39.22
1200,gps_vehicle_01,37.77502,-122.41952,39.95
1400,gps_vehicle_01,37.77504,-122.41954,40.61
1600,gps_vehicle_01,37.77506,-122.41956,41.21
1800,gps_vehicle_01,37.77508,-122.41958,41.73
2000,gps_vehicle_01,37.7751,-122.4196,42.17
2200,gps_vehicle_01,37.77512,-122.41962,42.52
2400,gps_vehicle_01,37.77514,-122.41964,42.78
2600,gps_vehicle_01,37.77516,-122.41966,42.94
2800,gps_vehicle_01,37.77518,-122.41968,43.0
3000,gps_vehicle_01,37.7752,-122.4197,42.96
3200,gps_vehicle_01,37.77522,-122.41972,42.83
3400,gps_vehicle_01,37.77524,-122.41974,42.6
3600,gps_vehicle_01,37.77526,-122.41976,42.27
3800,gps_vehicle_01,37.77528,-122.41978,41.86
4000,gps_vehicle_01,37.7753,-122.4198,41.36
4200,gps_vehicle_01,37.77532,-122.41982,40.78
4400,gps_vehicle_01,37.77534,-122.41984,40.14
4600,gps_vehicle_01,37.77536,-122.41986,39.42
4800,gps_vehicle_01,37.77538,-122.41988,38.66
5000,gps_vehicle_01,37.7754,-122.4199,37.85
5200,gps_vehicle_01,37.77542,-122.41992,37.0
5400,gps_vehicle_01,37.77544,-122.41994,36.13
5600,gps_vehicle_01,37.77546,-122.41996,35.24
5800,gps_vehicle_01,37.77548,-122.41998,34.36
6000,gps_vehicle_01,37.7755,-122.42,33.48
6200,gps_vehicle_01,37.77552,-122.42002,32.61
6400,gps_vehicle_01,37.77554,-122.42004,31.78
6600,gps_vehicle_01,37.77556,-122.42006,30.99
6800,gps_vehicle_01,37.77558,-122.42008,30.25
7000,gps_vehicle_01,37.7756,-122.4201,29.56
7200,gps_vehicle_01,37.77562,-122.42012,28.95
7400,gps_vehicle_01,37.77564,-122.42014,28.4
7600,gps_vehicle_01,37.77566,-122.42016,27.94
7800,gps_vehicle_01,37.77568,-122.42018,27.57
8000,gps_vehicle_01,37.7757,-122.4202,27.29
8200,gps_vehicle_01,37.77572,-122.42022,27.1
8400,gps_vehicle_01,37.77574,-122.42024,27.01
8600,gps_vehicle_01,37.77576,-122.42026,27.02
8800,gps_vehicle_01,37.77578,-122.42028,27.12
9000,gps_vehicle_01,37.7758,-122.4203,27.33
9200,gps_vehicle_01,37.77582,-122.42032,27.63
9400,gps_vehicle_01,37.77584,-122.42034,28.02
9600,gps_vehicle_01,37.77586,-122.42036,28.49
9800,gps_vehicle_01,37.77588,-122.42038,29.05
10000,gps_vehicle_01,37.7759,-122.4204,29.68
10200,gps_vehicle_01,37.77592,-122.42042,30.37
10400,gps_vehicle_01,37.77594,-122.42044,31.13
10600,gps_vehicle_01,37.77596,-122.42046,31.93
10800,gps_vehicle_01,37.77598,-122.42048,32.76
11000,gps_vehicle_01,37.776,-122.4205,33.63
11200,gps_vehicle_01,37.77602,-122.42052,34.51
11400,gps_vehicle_01,37.77604,-122.42054,35.4
11600,gps_vehicle_01,37.77606,-122.42056,36.28
11800,gps_vehicle_01,37.77608,-122.42058,37.15
12000,gps_vehicle_01,37.7761,-122.4206,37.99
12200,gps_vehicle_01,37.77612,-122.42062,38.8
12400,gps_vehicle_01,37.77614,-122.42064,39.55
12600,gps_vehicle_01,37.77616,-122.42066,40.26
12800,gps_vehicle_01,37.77618,-122.42068,40.89
13000,gps_vehicle_01,37.7762,-122.4207,41.46
13200,gps_vehicle_01,37.77622,-122.42072,41.94
13400,gps_vehicle_01,37.77624,-122.42074,42.34
13600,gps_vehicle_01,37.77626,-122.42076,42.65
13800,gps_vehicle_01,37.77628,-122.42078,42.86
14000,gps_vehicle_01,37.7763,-122.4208,42.98
14200,gps_vehicle_01,37.77632,-122.42082,43.0
14400,gps_vehicle_01,37.77634,-122.42084,42.91
14600,gps_vehicle_01,37.77636,-122.42086,42.74
14800,gps_vehicle_01,37.77638,-122.42088,42.46
15000,gps_vehicle_01,37.7764,-122.4209,42.1
15200,gps_vehicle_01,37.77642,-122.42092,41.65
15400,gps_vehicle_01,37.77644,-122.42094,41.11
15600,gps_vehicle_01,37.77646,-122.42096,40.5
15800,gps_vehicle_01,37.77648,-122.42098,39.82
16000,gps_vehicle_01,37.7765,-122.421,39.08
16200,gps_vehicle_01,37.77652,-122.42102,38.3
16400,gps_vehicle_01,37.77654,-122.42104,37.47
16600,gps_vehicle_01,37.77656,-122.42106,36.61
16800,gps_vehicle_01,37.77658,-122.42108,35.73
17000,gps_vehicle_01,37.7766,-122.4211,34.84
17200,gps_vehicle_01,37.77662,-122.42112,33.96
17400,gps_vehicle_01,37.77664,-122.42114,33.08
17600,gps_vehicle_01,37.77666,-122.42116,32.23
17800,gps_vehicle_01,37.77668,-122.42118,31.42
18000,gps_vehicle_01,37.7767,-122.4212,30.65
18200,gps_vehicle_01,37.77672,-122.42122,29.93
18400,gps_vehicle_01,37.77674,-122.42124,29.28
18600,gps_vehicle_01,37.77676,-122.42126,28.69
18800,gps_vehicle_01,37.77678,-122.42128,28.18
19000,gps_vehicle_01,37.7768,-122.4213,27.76
