timestamp_ms,stream,device_id,numeric_a,numeric_b,text
0,temperature,node_00,10.0,109.0,state-change
250,humidity,node_01,10.596,108.963,stable
500,gps,node_02,11.168,108.852,stable
750,vehicle,node_03,11.694,108.667,stable
1000,temperature,node_04,12.152,108.411,stable
1250,humidity,node_05,12.524,108.086,stable
1500,gps,node_06,12.796,107.694,stable
1750,vehicle,node_07,12.956,107.238,stable
2000,temperature,node_08,12.999,106.723,stable
2250,humidity,node_09,12.922,106.152,stable
2500,gps,node_10,12.728,105.53,state-change
2750,vehicle,node_11,12.425,104.863,stable
3000,temperature,node_12,12.026,104.155,stable
3250,humidity,node_13,11.547,103.413,stable
3500,gps,node_14,11.005,102.643,stable
3750,vehicle,node_15,10.423,101.851,stable
4000,temperature,node_00,9.825,101.044,stable
4250,humidity,node_01,9.233,100.228,stable
4500,gps,node_02,8.672,99.41,stable
4750,vehicle,node_03,8.164,98.597,stable
5000,temperature,node_04,7.73,97.796,state-change
5250,humidity,node_05,7.385,97.013,stable
5500,gps,node_06,7.145,96.255,stable
5750,vehicle,node_07,7.019,95.527,stable
6000,temperature,node_08,7.012,94.837,stable
6250,humidity,node_09,7.123,94.189,stable
6500,gps,node_10,7.35,93.589,stable
6750,vehicle,node_11,7.682,93.042,stable
7000,temperature,node_12,8.106,92.552,stable
7250,humidity,node_13,8.606,92.124,stable
7500,gps,node_14,9.162,91.761,state-change
7750,vehicle,node_15,9.751,91.467,stable
8000,temperature,node_00,10.35,91.242,stable
8250,humidity,node_01,10.935,91.09,stable
8500,gps,node_02,11.482,91.012,stable
8750,vehicle,node_03,11.971,91.007,stable
9000,temperature,node_04,12.381,91.077,stable
9250,humidity,node_05,12.696,91.221,stable
9500,gps,node_06,12.904,91.437,stable
9750,vehicle,node_07,12.996,91.724,stable
10000,temperature,node_08,12.968,92.079,state-change
10250,humidity,node_09,12.822,92.5,stable
10500,gps,node_10,12.564,92.983,stable
10750,vehicle,node_11,12.203,93.523,stable
11000,temperature,node_12,11.755,94.117,stable
11250,humidity,node_13,11.236,94.76,stable
11500,gps,node_14,10.669,95.446,stable
11750,vehicle,node_15,10.074,96.169,stable
12000,temperature,node_00,9.477,96.924,stable
12250,humidity,node_01,8.901,97.705,stable
12500,gps,node_02,8.368,98.505,state-change
12750,vehicle,node_03,7.9,99.316,stable
13000,temperature,node_04,7.517,100.134,stable
13250,humidity,node_05,7.232,100.95,stable
13500,gps,node_06,7.057,101.759,stable
13750,vehicle,node_07,7.0,102.553,stable
14000,temperature,node_08,7.062,103.326,stable
14250,humidity,node_09,7.242,104.071,stable
14500,gps,node_10,7.532,104.783,stable
14750,vehicle,node_11,7.919,105.456,stable
15000,temperature,node_12,8.39,106.083,state-change
15250,humidity,node_13,8.925,106.66,stable
15500,gps,node_14,9.503,107.182,stable
15750,vehicle,node_15,10.101,107.645,stable
16000,temperature,node_00,10.695,108.044,stable
16250,humidity,node_01,11.261,108.378,stable
16500,gps,node_02,11.776,108.642,stable
16750,vehicle,node_03,12.221,108.834,stable
17000,temperature,node_04,12.577,108.954,stable
17250,humidity,node_05,12.831,109.0,stable
17500,gps,node_06,12.972,108.971,state-change
17750,vehicle,node_07,12.994,108.868,stable
18000,temperature,node_08,12.897,108.692,stable
18250,humidity,node_09,12.684,108.445,stable
18500,gps,node_10,12.365,108.127,stable
18750,vehicle,node_11,11.951,107.742,stable
19000,temperature,node_12,11.459,107.294,stable
19250,humidity,node_13,10.909,106.785,stable
19500,gps,node_14,10.323,106.22,stable
19750,vehicle,node_15,9.724,105.604,stable
20000,temperature,node_00,9.136,104.942,state-change
20250,humidity,node_01,8.583,104.238,stable
20500,gps,node_02,8.086,103.5,stable
20750,vehicle,node_03,7.665,102.733,stable
21000,temperature,node_04,7.337,101.943,stable
21250,humidity,node_05,7.116,101.137,stable
21500,gps,node_06,7.009,100.322,stable
21750,vehicle,node_07,7.022,99.504,stable
22000,temperature,node_08,7.153,98.69,stable
22250,humidity,node_09,7.398,97.888,stable
22500,gps,node_10,7.747,97.102,state-change
22750,vehicle,node_11,8.186,96.34,stable
23000,temperature,node_12,8.696,95.609,stable
23250,humidity,node_13,9.259,94.914,stable
23500,gps,node_14,9.851,94.261,stable
23750,vehicle,node_15,10.45,93.655,stable
24000,temperature,node_00,11.03,93.102,stable
24250,humidity,node_01,11.569,92.606,stable
24500,gps,node_02,12.046,92.17,stable
24750,vehicle,node_03,12.441,91.8,stable
