timestamp_ms,device_id,status,location,message
0,sensor_cluster_alpha_00,nominal,building_a/floor_0/rack_0,periodic telemetry sample with repeated metadata
500,sensor_cluster_alpha_01,warming,building_a/floor_1/rack_1,periodic telemetry sample with repeated metadata
1000,sensor_cluster_alpha_02,cooling,building_a/floor_2/rack_2,periodic telemetry sample with repeated metadata
1500,sensor_cluster_alpha_03,maintenance,building_a/floor_3/rack_3,periodic telemetry sample with repeated metadata
2000,sensor_cluster_alpha_04,calibration,building_a/floor_4/rack_4,periodic telemetry sample with repeated metadata
2500,sensor_cluster_alpha_05,nominal,building_a/floor_0/rack_5,periodic telemetry sample with repeated metadata
3000,sensor_cluster_alpha_06,warming,building_a/floor_1/rack_6,periodic telemetry sample with repeated metadata
3500,sensor_cluster_alpha_07,cooling,building_a/floor_2/rack_7,periodic telemetry sample with repeated metadata
4000,sensor_cluster_alpha_08,maintenance,building_a/floor_3/rack_8,periodic telemetry sample with repeated metadata
4500,sensor_cluster_alpha_09,calibration,building_a/floor_4/rack_9,periodic telemetry sample with repeated metadata
5000,sensor_cluster_alpha_10,nominal,building_a/floor_0/rack_10,periodic telemetry sample with repeated metadata
5500,sensor_cluster_alpha_11,warming,building_a/floor_1/rack_11,periodic telemetry sample with repeated metadata
6000,sensor_cluster_alpha_00,cooling,building_a/floor_2/rack_12,periodic telemetry sample with repeated metadata
6500,sensor_cluster_alpha_01,maintenance,building_a/floor_3/rack_13,periodic telemetry sample with repeated metadata
7000,sensor_cluster_alpha_02,calibration,building_a/floor_4/rack_14,periodic telemetry sample with repeated metadata
7500,sensor_cluster_alpha_03,nominal,building_a/floor_0/rack_15,periodic telemetry sample with repeated metadata
8000,sensor_cluster_alpha_04,warming,building_a/floor_1/rack_16,periodic telemetry sample with repeated metadata
8500,sensor_cluster_alpha_05,cooling,building_a/floor_2/rack_17,periodic telemetry sample with repeated metadata
9000,sensor_cluster_alpha_06,maintenance,building_a/floor_3/rack_18,periodic telemetry sample with repeated metadata
9500,sensor_cluster_alpha_07,calibration,building_a/floor_4/rack_19,periodic telemetry sample with repeated metadata
10000,sensor_cluster_alpha_08,nominal,building_a/floor_0/rack_0,periodic telemetry sample with repeated metadata
10500,sensor_cluster_alpha_09,warming,building_a/floor_1/rack_1,periodic telemetry sample with repeated metadata
11000,sensor_cluster_alpha_10,cooling,building_a/floor_2/rack_2,periodic telemetry sample with repeated metadata
11500,sensor_cluster_alpha_11,maintenance,building_a/floor_3/rack_3,periodic telemetry sample with repeated metadata
12000,sensor_cluster_alpha_00,calibration,building_a/floor_4/rack_4,periodic telemetry sample with repeated metadata
12500,sensor_cluster_alpha_01,nominal,building_a/floor_0/rack_5,periodic telemetry sample with repeated metadata
13000,sensor_cluster_alpha_02,warming,building_a/floor_1/rack_6,periodic telemetry sample with repeated metadata
13500,sensor_cluster_alpha_03,cooling,building_a/floor_2/rack_7,periodic telemetry sample with repeated metadata
14000,sensor_cluster_alpha_04,maintenance,building_a/floor_3/rack_8,periodic telemetry sample with repeated metadata
14500,sensor_cluster_alpha_05,calibration,building_a/floor_4/rack_9,periodic telemetry sample with repeated metadata
15000,sensor_cluster_alpha_06,nominal,building_a/floor_0/rack_10,periodic telemetry sample with repeated metadata
15500,sensor_cluster_alpha_07,warming,building_a/floor_1/rack_11,periodic telemetry sample with repeated metadata
16000,sensor_cluster_alpha_08,cooling,building_a/floor_2/rack_12,periodic telemetry sample with repeated metadata
16500,sensor_cluster_alpha_09,maintenance,building_a/floor_3/rack_13,periodic telemetry sample with repeated metadata
17000,sensor_cluster_alpha_10,calibration,building_a/floor_4/rack_14,periodic telemetry sample with repeated metadata
17500,sensor_cluster_alpha_11,nominal,building_a/floor_0/rack_15,periodic telemetry sample with repeated metadata
18000,sensor_cluster_alpha_00,warming,building_a/floor_1/rack_16,periodic telemetry sample with repeated metadata
18500,sensor_cluster_alpha_01,cooling,building_a/floor_2/rack_17,periodic telemetry sample with repeated metadata
19000,sensor_cluster_alpha_02,maintenance,building_a/floor_3/rack_18,periodic telemetry sample with repeated metadata
19500,sensor_cluster_alpha_03,calibration,building_a/floor_4/rack_19,periodic telemetry sample with repeated metadata
20000,sensor_cluster_alpha_04,nominal,building_a/floor_0/rack_0,periodic telemetry sample with repeated metadata
20500,sensor_cluster_alpha_05,warming,building_a/floor_1/rack_1,periodic telemetry sample with repeated metadata
21000,sensor_cluster_alpha_06,cooling,building_a/floor_2/rack_2,periodic telemetry sample with repeated metadata
21500,sensor_cluster_alpha_07,maintenance,building_a/floor_3/rack_3,periodic telemetry sample with repeated metadata
22000,sensor_cluster_alpha_08,calibration,building_a/floor_4/rack_4,periodic telemetry sample with repeated metadata
22500,sensor_cluster_alpha_09,nominal,building_a/floor_0/rack_5,periodic telemetry sample with repeated metadata
23000,sensor_cluster_alpha_10,warming,building_a/floor_1/rack_6,periodic telemetry sample with repeated metadata
23500,sensor_cluster_alpha_11,cooling,building_a/floor_2/rack_7,periodic telemetry sample with repeated metadata
24000,sensor_cluster_alpha_00,maintenance,building_a/floor_3/rack_8,periodic telemetry sample with repeated metadata
24500,sensor_cluster_alpha_01,calibration,building_a/floor_4/rack_9,periodic telemetry sample with repeated metadata
25000,sensor_cluster_alpha_02,nominal,building_a/floor_0/rack_10,periodic telemetry sample with repeated metadata
25500,sensor_cluster_alpha_03,warming,building_a/floor_1/rack_11,periodic telemetry sample with repeated metadata
26000,sensor_cluster_alpha_04,cooling,building_a/floor_2/rack_12,periodic telemetry sample with repeated metadata
26500,sensor_cluster_alpha_05,maintenance,building_a/floor_3/rack_13,periodic telemetry sample with repeated metadata
27000,sensor_cluster_alpha_06,calibration,building_a/floor_4/rack_14,periodic telemetry sample with repeated metadata
27500,sensor_cluster_alpha_07,nominal,building_a/floor_0/rack_15,periodic telemetry sample with repeated metadata
28000,sensor_cluster_alpha_08,warming,building_a/floor_1/rack_16,periodic telemetry sample with repeated metadata
28500,sensor_cluster_alpha_09,cooling,building_a/floor_2/rack_17,periodic telemetry sample with repeated metadata
29000,sensor_cluster_alpha_10,maintenance,building_a/floor_3/rack_18,periodic telemetry sample with repeated metadata
29500,sensor_cluster_alpha_11,calibration,building_a/floor_4/rack_19,periodic telemetry sample with repeated metadata
30000,sensor_cluster_alpha_00,nominal,building_a/floor_0/rack_0,periodic telemetry sample with repeated metadata
