timestamp_ms,device_id,temperature_c
0,temp_00,20.0
1000,temp_01,20.333
2000,temp_02,20.664
3000,temp_03,20.99
4000,temp_04,21.309
5000,temp_05,21.619
6000,temp_06,21.918
7000,temp_07,22.203
8000,temp_00,22.473
9000,temp_01,22.727
10000,temp_02,22.961
11000,temp_03,23.174
12000,temp_04,23.366
13000,temp_05,23.534
14000,temp_06,23.678
15000,temp_07,23.796
16000,temp_00,23.888
17000,temp_01,23.953
18000,temp_02,23.99
19000,temp_03,24.0
20000,temp_04,23.982
21000,temp_05,23.936
22000,temp_06,23.863
23000,temp_07,23.763
24000,temp_00,23.637
25000,temp_01,23.486
26000,temp_02,23.311
27000,temp_03,23.112
28000,temp_04,22.892
29000,temp_05,22.652
30000,temp_06,22.394
31000,temp_07,22.119
32000,temp_00,21.829
33000,temp_01,21.527
34000,temp_02,21.214
35000,temp_03,20.892
36000,temp_04,20.564
37000,temp_05,20.233
38000,temp_06,19.9
39000,temp_07,19.567
40000,temp_00,19.238
41000,temp_01,18.914
42000,temp_02,18.597
43000,temp_03,18.29
44000,temp_04,17.995
45000,temp_05,17.714
46000,temp_06,17.448
47000,temp_07,17.201
48000,temp_00,16.973
49000,temp_01,16.766
50000,temp_02,16.581
51000,temp_03,16.42
52000,temp_04,16.284
53000,temp_05,16.174
54000,temp_06,16.09
55000,temp_07,16.033
56000,temp_00,16.004
57000,temp_01,16.003
58000,temp_02,16.029
59000,temp_03,16.083
60000,temp_04,16.164
61000,temp_05,16.272
62000,temp_06,16.406
63000,temp_07,16.564
64000,temp_00,16.747
65000,temp_01,16.952
66000,temp_02,17.178
67000,temp_03,17.424
68000,temp_04,17.687
69000,temp_05,17.967
70000,temp_06,18.261
71000,temp_07,18.567
72000,temp_00,18.882
73000,temp_01,19.206
74000,temp_02,19.535
75000,temp_03,19.867
76000,temp_04,20.201
77000,temp_05,20.532
78000,temp_06,20.86
79000,temp_07,21.183
80000,temp_00,21.497
81000,temp_01,21.8
82000,temp_02,22.091
83000,temp_03,22.368
84000,temp_04,22.628
85000,temp_05,22.87
86000,temp_06,23.092
87000,temp_07,23.292
88000,temp_00,23.47
89000,temp_01,23.624
90000,temp_02,23.752
91000,temp_03,23.854
92000,temp_04,23.93
93000,temp_05,23.978
94000,temp_06,23.999
95000,temp_07,23.992
96000,temp_00,23.957
97000,temp_01,23.895
98000,temp_02,23.806
99000,temp_03,23.69
