timestamp_ms,vehicle_id,speed_kph,rpm,battery_mv,fault_code
0,veh_00,45.0,900,11800,P0420
100,veh_01,48.32,937,11801,
200,veh_02,51.54,974,11802,
300,veh_03,54.59,1011,11803,
400,veh_00,57.37,1048,11804,
500,veh_01,59.8,1085,11805,
600,veh_02,61.83,1122,11806,
700,veh_03,63.39,1159,11807,
800,veh_00,64.44,1196,11808,
900,veh_01,64.95,1233,11809,
1000,veh_02,64.91,1270,11810,
1100,veh_03,64.31,1307,11811,
1200,veh_00,63.19,1344,11812,
1300,veh_01,61.55,1381,11813,
1400,veh_02,59.46,1418,11814,
1500,veh_03,56.97,1455,11815,
1600,veh_00,54.15,1492,11816,
1700,veh_01,51.07,1529,11817,
1800,veh_02,47.82,1566,11818,
1900,veh_03,44.5,1603,11819,
2000,veh_00,41.19,1640,11820,
2100,veh_01,37.98,1677,11821,
2200,veh_02,34.97,1714,11822,
2300,veh_03,32.24,1751,11823,
2400,veh_00,29.86,1788,11824,
2500,veh_01,27.9,1825,11825,
2600,veh_02,26.42,1862,11826,
2700,veh_03,25.45,1899,11827,
2800,veh_00,25.02,1936,11828,
2900,veh_01,25.15,1973,11829,
3000,veh_02,25.82,2010,11830,
3100,veh_03,27.03,2047,11831,
3200,veh_00,28.73,2084,11832,
3300,veh_01,30.89,2121,11833,
3400,veh_02,33.44,2158,11834,
3500,veh_03,36.3,2195,11835,
3600,veh_00,39.41,2232,11836,
3700,veh_01,42.67,2269,11837,
3800,veh_02,46.0,2306,11838,
3900,veh_03,49.3,2343,11839,
4000,veh_00,52.48,2380,11840,
4100,veh_01,55.46,2417,11841,
4200,veh_02,58.14,2454,11842,
4300,veh_03,60.46,2491,11843,
4400,veh_00,62.35,2528,11844,
4500,veh_01,63.76,2565,11845,
4600,veh_02,64.65,2602,11846,
4700,veh_03,65.0,2639,11847,
4800,veh_00,64.79,2676,11848,
4900,veh_01,64.03,2713,11849,
5000,veh_02,62.75,2750,11850,
5100,veh_03,60.97,2787,11851,
5200,veh_00,58.75,2824,11852,
5300,veh_01,56.15,2861,11853,
5400,veh_02,53.24,2898,11854,
5500,veh_03,50.11,2935,11855,
5600,veh_00,46.83,2972,11856,
5700,veh_01,43.5,3009,11857,
5800,veh_02,40.21,3046,11858,
5900,veh_03,37.05,3083,11859,
6000,veh_00,34.12,3120,11860,
6100,veh_01,31.49,3157,11861,
6200,veh_02,29.23,3194,11862,
6300,veh_03,27.41,3231,11863,
6400,veh_00,26.07,3268,11864,
6500,veh_01,25.26,3305,11865,
6600,veh_02,25.0,3342,11866,
6700,veh_03,25.29,3379,11867,
6800,veh_00,26.13,3416,11868,
6900,veh_01,27.49,3453,11869,
7000,veh_02,29.34,3490,11870,
7100,veh_03,31.62,3527,11871,
7200,veh_00,34.27,3564,11872,
7300,veh_01,37.22,3601,11873,
7400,veh_02,40.38,3638,11874,
7500,veh_03,43.67,3675,11875,
7600,veh_00,47.0,3712,11876,
7700,veh_01,50.28,3749,11877,
7800,veh_02,53.4,3786,11878,
7900,veh_03,56.3,3823,11879,
8000,veh_00,58.88,3860,11800,
8100,veh_01,61.08,3897,11801,
8200,veh_02,62.83,3934,11802,
8300,veh_03,64.08,3971,11803,
8400,veh_00,64.81,4008,11804,
8500,veh_01,64.99,4045,11805,
8600,veh_02,64.62,4082,11806,
8700,veh_03,63.7,4119,11807,
8800,veh_00,62.26,4156,11808,
8900,veh_01,60.35,4193,11809,
9000,veh_02,58.01,4230,11810,
9100,veh_03,55.3,4267,11811,
9200,veh_00,52.32,4304,11812,
9300,veh_01,49.13,4341,11813,
9400,veh_02,45.83,4378,11814,
9500,veh_03,42.5,4415,11815,
9600,veh_00,39.24,4452,11816,
9700,veh_01,36.14,4489,11817,P0420
9800,veh_02,33.29,4526,11818,
9900,veh_03,30.76,4563,11819,
